A1_Business_Type,A2_Years_Operation,A3_Registration,A4_Distance_AAU,A5_Current_FullTime,A6_Current_PartTime,B1_Received_Support,B2_Support_Type,B3_Participation_Times,B4_First_Support_Month,B4_First_Support_Year,B5_Recent_Support_Month,B5_Recent_Support_Year,B6_Department,C1_Revenue_Before_ETB,C1_Revenue_Current_ETB,C1_Profit_Before_ETB,C1_Profit_Current_ETB,C2_FullTime_Before,C2_FullTime_Current,C2_PartTime_Before,C2_PartTime_Current,C3.1_Bank_Loan,C3.2_Loan_Amount_ETB,C3.3_University_Help_Loan,C3.4_Other_Credit,C4.1_New_Markets,C4.2_New_Location,C4.3_New_Product_Service,C4.4_Certification,C5.1_Formal_Records_Current,C5.2_Formal_Records_Before,C5.3_Tax_Current,C5.4_Tax_Before,C6.1_Still_Operating,C6.2_Operate_Next3Years,D1,D2,D3,D4,D5,D6,D7,D8,D9
Service,14,Registered,1-3km,12,4,Yes,Student project assistance,3,10,2023,10,2025,BAIS,187291,287800,35912,57795,8,12,3,4,Yes,595421,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Not sure,2,3,4,1,5,4,5,2,3
Retail,10,Registered,3-6km,14,7,Yes,Training/workshop,2,5,2024,11,2025,Logistics & Supply Chain,73972,89478,11008,18159,11,14,4,7,No,,,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Not sure,3,3,4,2,4,2,3,5,4
Service,15,Not Registered,1-3km,12,2,Yes,Student project assistance,7,5,2021,12,2025,Management,49197,64941,9181,12394,11,12,0,2,No,,,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,4,5,5,4,3,4,5,4,2
Service,12,Registered,3-6km,8,7,Yes,One-on-one consultancy,3,7,2021,10,2025,Management,112921,132152,11640,15150,7,8,5,7,Yes,125628,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not sure,4,3,2,5,3,5,2,5,4
Retail,11,Registered,1-3km,16,9,Yes,Business planning,6,3,2020,1,2025,Accounting & Finance,111702,152549,16289,24893,14,16,7,9,Yes,453923,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,4,5,4,2,4,4,4,5,4
Retail,7,Registered,3-6km,17,6,Yes,Business planning,6,5,2022,9,2025,Public Administration,228757,333695,33625,38723,12,17,5,6,Yes,629762,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,5,5,5,4,4,4,4,4,5
Manufacturing,12,Not Registered,Less than 1km,16,6,Yes,Student project assistance,3,2,2020,8,2025,Accounting & Finance,158458,205445,29402,38212,13,16,6,6,No,,,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,4,4,3,3,3,4,3,3,5
Retail,15,Registered,3-6km,9,2,Yes,Student project assistance,1,11,2022,1,2025,Logistics & Supply Chain,220770,342175,30431,44343,6,9,2,2,Yes,550084,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,4,4,5,4,2,1,5,5,5
Other,2,Registered,Less than 1km,8,10,Yes,Training/workshop,4,9,2023,10,2025,Management,193901,213947,38881,48867,6,8,7,10,Yes,912298,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5,4,4,1,4,4,2,3,4
Service,5,Registered,3-6km,9,4,Yes,One-on-one consultancy,3,4,2021,8,2025,Public Administration,77251,115629,15796,23944,9,9,2,4,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,5,5,4,4,4,4,4,4,4
Service,5,Registered,3-6km,9,5,Yes,Business planning,6,5,2021,10,2025,Public Administration,35163,56113,3128,5049,5,9,2,5,Yes,608314,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,4,4,4,5,4,5,5,2,5
Retail,8,Not Registered,Less than 1km,6,7,Yes,Student project assistance,5,10,2023,2,2025,BAIS,96407,115664,18962,30331,6,6,6,7,No,,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,4,5,4,3,5,5,2,5
Manufacturing,17,Registered,3-6km,9,4,Yes,Training/workshop,6,4,2021,12,2025,Accounting & Finance,209131,321946,17862,29995,5,9,1,4,Yes,254557,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,4,4,4,5,4,5,3,2,4
Manufacturing,2,Registered,1-3km,12,0,Yes,One-on-one consultancy,4,2,2024,5,2025,Accounting & Finance,108241,147620,8752,9937,9,12,0,0,No,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,4,3,3,4,4,3,4,3,4
Manufacturing,9,Registered,3-6km,6,5,Yes,One-on-one consultancy,3,7,2021,1,2025,Marketing Management,115922,135216,11493,14249,5,6,3,5,No,,,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Not sure,5,4,4,5,2,4,5,4,5
Retail,6,Registered,1-3km,4,6,Yes,Marketing assistance,7,2,2024,9,2025,Accounting & Finance,226776,268117,46630,54349,1,4,4,6,No,,,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4,3,4,5,2,5,4,4,5
Service,16,Registered,3-6km,2,4,Yes,Business planning,5,8,2022,7,2025,Management,184369,221820,37312,50146,2,2,3,4,No,,,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,3,4,5,4,5,3,5,4,2
Manufacturing,16,Registered,1-3km,15,5,Yes,Student project assistance,3,5,2021,10,2025,Accounting & Finance,100362,143861,18039,22125,11,15,3,5,No,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,5,4,4,5,2,4,4,4,2
Retail,2,Registered,1-3km,10,2,Yes,Marketing assistance,4,2,2022,7,2025,Economics,204822,231009,42374,50783,5,10,2,2,No,,,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,3,4,5,4,5,5,5,4,4
Retail,12,Not Registered,3-6km,13,5,Yes,Business planning,2,7,2020,11,2025,Accounting & Finance,125899,192739,11180,13650,12,13,3,5,No,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,3,3,5,1,5,4,5
Service,12,Not Registered,1-3km,2,10,Yes,Student project assistance,5,1,2023,4,2025,BAIS,245506,312069,51873,59861,1,2,7,10,No,,,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,4,4,4,5,3,4,4,1,4
Retail,7,Registered,3-6km,12,5,Yes,Business planning,3,5,2023,4,2025,BAIS,209075,253813,45615,76458,10,12,2,5,No,,,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,4,5,1,5,5,4,5,5
Manufacturing,10,Registered,3-6km,4,1,Yes,Business planning,5,9,2022,9,2025,BAIS,182786,219944,16270,26635,4,4,0,1,No,,,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,4,4,3,1,2,4,3,4,4
Retail,4,Not Registered,Less than 1km,18,5,Yes,Financial/accounting advice,3,6,2021,11,2025,Economics,178520,276097,19939,30775,14,18,5,5,No,,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,3,4,4,3,2,5,4
Other,6,Registered,1-3km,8,8,Yes,Student project assistance,7,5,2020,9,2025,BAIS,149996,195926,27379,45924,3,8,6,8,Yes,752685,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Not sure,3,5,4,4,3,2,5,5,3
Service,17,Registered,Less than 1km,6,1,Yes,One-on-one consultancy,4,8,2020,11,2025,Marketing Management,141421,188561,23230,38287,6,6,0,1,No,,,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,5,4,3,3,5,4,4,4,4
Retail,17,Registered,Less than 1km,17,8,Yes,Marketing assistance,4,4,2024,6,2025,Management,240481,322390,51770,57553,12,17,5,8,No,,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,4,1,4,5,4,5,4,5,3
Service,14,Registered,3-6km,17,5,Yes,Student project assistance,2,3,2021,10,2025,Logistics & Supply Chain,241331,302058,33873,51000,12,17,4,5,No,,,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,4,4,4,2,4,3,5,4,4
Other,6,Registered,1-3km,15,6,Yes,Marketing assistance,5,11,2021,8,2025,BAIS,153188,200430,21114,26997,12,15,3,6,No,,,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,1,4,4,5,3,2,4,5,4
Retail,9,Registered,Less than 1km,14,2,Yes,One-on-one consultancy,5,2,2021,12,2025,Management,210231,314745,39482,59785,9,14,0,2,No,,,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,5,4,4,2,5,5,5,3,3
Service,17,Registered,1-3km,13,6,Yes,Business planning,6,1,2022,12,2025,Management,101424,129743,11786,16325,13,13,6,6,No,,,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,4,4,5,5,5,3,3,3,4
Retail,12,Not Registered,1-3km,3,2,Yes,Financial/accounting advice,4,11,2021,11,2025,BAIS,206696,292215,18889,29164,1,3,0,2,Yes,425116,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,4,4,4,4,5,4,5,4,5
